id,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,financial_loss_amount,sentiment_score,urgency_score,duration_of_ordeal_days,interaction_count,scam_archetype,communication_vector,payment_mechanism,company_behavior_flags,life_impact_categories,consumer_vulnerability_tags,regulatory_issues,third_party_entities,linked_financial_institutions
008aebd9-8c48-4648-91f4-6f01c24a0b18,06/29/24,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"I was recently scammed during a real estate closing process, and sent XXXX wire in total from my bank accounts ( Chase, XXXX XXXX, and XXXX XXXX XXXX  ) to a scammer 's account at XXXX XXXX. XXXX  has confirmed that the money is gone. I started recall process at Chase, XXXX XXXX, and XXXX XXXX XXXX  separately at the same time, and so far I have successfully received XXXX refunds from XXXX after signing the XXXX XXXX XXXX at XXXX XXXX and XXXX XXXX XXXX. The only transition that is still not retrieved is the one that I sent from Chase, which is XXXX. Chase claimed repeatedly that they sent out the XXXX XXXX XXXX on XX/XX/year>, but I was able to confirm with the agent at XXXX in written form that they have never received the XXXX XXXX XXXX from Chase. I have never signed the XXXX XXXX XXXX at Chase, neither. I then contacted the wire research team at Chase, and they insisted that XXXX has to initiate and send Chase the form to sign ; however, since I am not a XXXX  customer and it is not in XXXX  interest to refund, XXXX has also insisted me to ask Chase to contact them for details to sign the XXXX XXXX XXXX. Chase has been giving me inconsistent updates and their lying and lack of action in this situation is potentially delaying the process and jeopardizing the XXXX that I could have gotten back XXXX ago. I am formally demanding Chase to have me sign and then send XXXX the XXXX XXXX XXXX as soon as possible to stop further delaying this process, otherwise I would seek legal support for their negligence.",None,JPMORGAN CHASE & CO.,MA,02155,None,Consent provided,Web,06/29/24,Closed with explanation,Yes,N/A,9384812,0.0,-0.6,8,14,5,Business Email Compromise,Email,Wire,Denied Claim|Inconsistent Updates|Negligence|Lack of Action,Real Estate Closing Failure,,Wire Recall Failure,,Chase
b405ae1b-7a16-4049-8ca1-c73088e917c3,02/14/22,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"I was scammed out of {$14000.00}. This is the website that a scammer told me to go to and link to my Coinbase wallet : https : //mcdex-defi.com At first, they allowed me to mine USDT from the website and they said I could transfer the money to my wallet, where it would be safe. I did just that, a few times. The wallet got up to {$14000.00}, and when I tried to transfer more money into my wallet, they said I could not until I added $ XXXX to my wallet. I did not do that and told them I would not, and then all of a sudden they stole my {$14000.00}!!! Can you please help me to recover the funds? I would think Coinbase would stand by their wallet security. I opened a case with them but they dont seem to be cooperative. Please help. Thank you!",None,"Coinbase, Inc.",MA,02467,None,Consent provided,Web,02/28/22,Closed with explanation,Yes,N/A,5220740,14000.0,-0.7,9,30,2,Pig Butchering,Website,Cryptocurrency,Uncooperative,Significant Savings Loss,,,mcdex-defi.com,Coinbase
8aa88e09-a84c-4570-ad93-e2351047576b,03/02/24,Debt collection,Telecommunications debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"This is regarding case XXXX. CFPB has closed the dispute despite the company Transunion ( I have written my feedback as XXXX by error ) had sent incorrect information and against extensive proof including the company to which collection was sent XXXX XXXX a subsidiary of XXXX who has reported the collection dismissed that collection as not owed as service was not provided and many times unusable and we should not owe any money. 

I believe the case was closed without opportunity to point the continued error of Transunion despite all facts showing otherwise - citing that the vendor says so, A CFPB associate I talked to before making complaint against TransUnion looked/listened to previous material sent as complaint against XXXX saw the extent of scam XXXX went to including the financial part that CFPB helps US citizens on and said though no action can be taken against XXXX, CFPB can get the credit agencies to remove the incorrect collection annotation in my credit report removed citing the extent XXXX did finance and service violations and harassments.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MA,024XX,None,Consent provided,Web,03/02/24,Closed with non-monetary relief,Yes,N/A,8463733,0.0,-0.5,6,60,4,Inaccurate Credit Reporting,Mail,Credit Account,Incorrect Information|Premature Case Closure,Credit Score Damage,,Fair Credit Reporting Act Violation,Transunion,
a8ac19c1-8641-4627-8846-89326be9abe6,08/03/24,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,I received a phone call from the Bank of Americas actual XXXX number saying they found fraudulent payments in my account. They explained that there were fraudulent wires made and that they could start the formal process with me to fix the problem. So they walked me through it. Then the next morning my account was emptied- {$8200.00} was gone. So I immediately called Bank of America and asked what happened. They said this is a new type of scam and I was connected to their fraud department to file claim. I had to sign an affidavit that I was not actually involved with the fraud. I called a total of 5 times for updates. Today I received an email document saying that they can not recover my money. I immediately sent 2 emails back saying that it was unacceptable. The initial fraudulent call was Wednesday XX/XX/2024. I received the document today XXXX XXXX that they couldnt fix the problem.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02324,None,Consent provided,Web,08/03/24,Closed with monetary relief,Yes,N/A,9700926,8200.0,-0.8,8,5,6,Bank Impersonation Scam,Phone,Wire,Denied Claim|Unacceptable Resolution,Savings Depletion,,Regulation E,,Bank of America
0b7eca93-b990-49e8-b925-596ac78a8345,04/23/25,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"On XXXX XXXX, 2025, I received an email from LJ Ross Associates about a {$330.00} debt allegedly owed to XXXX. The notice listed an incorrect and invalid address ( XXXX XXXX XXXXXXXX XXXX XXXX, XXXX, MA XXXX ), which is not my residence. Because of this, I believed the notice was a scam or sent in error and did not respond immediately. 

On XXXX XXXX, 2025, just 15 days later, the debt was reported to the credit bureaus, negatively impacting my XXXX XXXX. On XX/XX/XXXX, I sent a written settlement offer proposing a 50 % payment ( for the utility debt for my actual correct address ) in exchange for deletion from my credit report, but I have received no response after a month. 

I believe this situation involves unfair debt collection and credit reporting practices, and I have made a good-faith effort to resolve it.",Company believes the complaint provided an opportunity to answer consumer's questions,LJ Ross Associates,MA,021XX,None,Consent provided,Web,04/23/25,Closed with explanation,Yes,N/A,13141629,330.0,-0.4,7,45,3,Debt Collection Scam,Email,None,Incorrect Address|No Response to Settlement Offer,Credit Score Damage,,FDCPA Violation,LJ Ross Associates,
6c20f4b5-639b-401c-997a-53e709e3c51a,03/18/21,"Money transfer, virtual currency, or money service",Refund anticipation check,Confusing or missing disclosures,None,"I have been a customer of PayPal since 2011, and used their services for random online purchases. I also bought Cryptocurrency last fall ( balance of $ XXXX ). On XX/XX/XXXX, I received an email saying PayPal was permanently limiting access to my account, without any explanation. Thinking it was a scam email, I called them and talked to a phone rep, and her supervisor, they both confirmed my account was blocked, they did not know why and did not offer any resolution options. They also stated that my funds will be held for a period of 180 days! I understand something may have trigged their security system and this is for my protection ( or theirs ), but they are not giving any explanation why this is happening or what do I need to do to resolve the issue. At this point, I would like to close this account, get my money back and move on from PayPal.",None,"Paypal Holdings, Inc",MA,02118,None,Consent provided,Web,03/18/21,Closed with non-monetary relief,Yes,N/A,4224634,0.0,-0.6,5,180,2,Account Freeze,Email,Cryptocurrency,No Explanation|Funds Held,Loss of Asset Access,,,PayPal,
9db55a02-14fe-45e4-b038-6182c345d0fa,01/23/24,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"Dear Sir/Madam, I am writing to bring to your attention a fraudulent transaction that was made from my account on XXXX. I was shocked to discover that {$1000.00} was withdrawn from my account without my authorization or knowledge. Upon discovering this unauthorized activity, I immediately contacted Bank of America to report the fraudlent transaction .After that, XXXX I discovered {$440.00} another fraud transaction on my wife account .Most part of this money were pending when we called the Bank. We called immediately Bank of America customer service again and report the fraud transaction. Firstly, They open claim and paidback my money, however, XX/XX/XXXX, I got some letters from Bank Of America, I have attached a copy of them. 
I discovered from Bank research XXXX an account had been created on XXXX  XXXX  in my name without my knowledge or consent. Subsequently, XXXX tickets for a XXXX XXXX concert on XXXX were purchased using my Bank Of America credit card XXXX amounting to a total of {$1000.00} XXXX contacted to Bank of America again and explained my situation and also I field a police report to document the incident .To my dismay, despite these efforts, the issue persisted. 
I also reached out XXXX XXXX Customer service to address the situation .However, during our communication, they claimed to have sent verification emails and asserted that the tickets had been delivered to my mailbox .I explained them I have not received any such emails, and the tickets were never delivered to my address .After that XXXX XXXX offered me 2 alternative tickets for a different event for selling and getting money .I found this solution inadequate and I did not accept their offer because I never bought any tickets from their website. Then, I went different time to Bank of America for solving this problem. However I did not get any helpful step and Bank offered me I should to pay back {$130.00} for my credit score. And at the same time Bank Of America sent new message to my wife email address about my wife claim XXXX. They did not send any information about my wife fraud transaction but they demand {$440.00} pay back. 
In addition, I have filed a police report and attached a copy for your reference. 
Please investigate this matter urgently and keep me informed of the progress of your investigation. I would appreciate a prompt resolution to this issue. 
Thank you for your attention to this matter.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02135,None,Consent provided,Web,01/23/24,Closed with explanation,Yes,N/A,8204460,1440.0,-0.7,8,30,7,Identity Theft,None,Credit Card,Ineffective Investigation|Demand for Payment,Financial Stress|Credit Score Risk,,Regulation Z,,Bank of America
0a3e7d39-6640-4e1b-85a9-455e8332e2a9,04/07/22,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Fraud or scam,None,I got a charge in my Bank of America debit card for {$190.00} on XX/XX/22 from XXXX XXXX XXXX XXXX I did go on XXXX XXXX chatted with some person to see what credit company had me listed as owing... someone called me and Offered NO help whatsoever- even said I dont know how to help in heavy foreign accent! Im outraged! Im trying to find a number for this company- nothing comes up! Im XXXX and need this {$190.00} put back in my account! So upsetting!,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,017XX,Older American,Consent provided,Web,04/26/22,Closed with explanation,Yes,N/A,5419306,190.0,-0.9,9,7,2,Unauthorized Transaction,None,Debit Card,Rude|No Help Offered,Essential Needs Funds,Elderly,Regulation E,,Bank of America
4442a2ef-0263-4c2e-b2a0-8bea11ce723a,12/28/21,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,"XX/XX/23 a company named Zelle hacked my account and took {$3000.00}. I contacted Zelle who said they wouldn't help. I contacted my bank and it was reported as fraud. 
XXXX XXXX  will not reimburse even though it's fraud because they lose money. This was not a scam. My bank can see the withdrawals. I want everyone know about fraud reporting and how it does not help to get what back what was taken from you",None,"Early Warning Services, LLC",MA,015XX,None,Consent provided,Web,12/28/21,Closed with explanation,Yes,N/A,5050741,3000.0,-0.8,7,10,2,Account Hacking,Digital,Zelle,Denied Claim|Refusal to Help,Financial Loss,,Regulation E Violation,Zelle,
3b7117d6-c9d5-4bf5-ab11-f2ade7ed4a0d,02/28/24,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"- On XX/XX/XXXX my phone was stolen in XXXX and I became the victim of XXXX XXXXfraud/identity theft totaling {$20000.00} - The money can be broken down into 3 difference categories : Debit : {$7500.00} -- > this is the responsibility of TD Bank XXXX : {$7000.00} XXXX : {$5600.00} - Once I became aware of the situation ( XX/XX/XXXX ) I began contacting everyone involved. Some of these entities include TD Bank, XXXX XXXX XXXX XXXX XXXX XXXX XXXX 
- I then returned to XXXX to file a police report, which was investigated and eventually led to an arrest - Since then, I have received all of the money back from the XXXX category along with the XXXX payments. They all agreed that these transactions were committed fraudulently and my money was refunded - Numerous credit cards were also wrongly opened under my name- all of which also agreed that they were opened fraudulently and I was compensated accordingly - After filing my initial claim with TD Bank, I unfortunately heard back from them stating that they did not find these charges to be made in error and they believed that "" The transactions appears to be authorized by you, you consented to or benefitted from the transactions '' -- XXXX I can not find my paperwork stating if a XXXX charge under the same category was refunded. The total of this was {$38.00} from the {$7500.00} category. I am certain that the remaining {$7500.00} did not get refunded - After speaking with a representative I was advised to attach a copy of the police report as proof that my phone was stolen and fraud was then committed using my phone - After a short delay I received a copy from the NYPD of my claim, and I resubmitted the claim - Shortly later, I was told once again that TD Bank believe these charges were not made in error. I was once again advised to secure more paperwork to help prove my case - Because I had to do this all in person in XXXX where I do not live, it took me a few months before being able to return and request additional paperwork. Once I did return I was told that I would need to request any additional information by filing a Freedom of Information Law ( FOIL ) request. 
- I initially called and left multiple voicemails over the course of a few months to which I never hear back. After this I filed my requested online and was told I would hear back in XXXX of XXXX - XXXX contacted multiple people from the relevant XXXX agencies and was directed to go to the County Clerk 's office ( in person ) - After some time I was able to get back to XXXX and when I got to the County Clerk 's office I was told to go to the District Attorney 's office because they could not help me- The DA 's office told me they would try to help but unfortunately because the case is sealed there is nothing they can do in order to help secure additional resources regarding my case. They did however provide me with an Arrest # and a Docket # proving that there was an arrest made relevant to my case- Because the case is sealed the only way to acquire more documents is by having the defendant ( whom I do not know ) write a letter of approval, or by hiring an attorney to help unseal which I don't want to do because it could cause me to lose even more money",None,TD BANK US HOLDING COMPANY,MA,XXXXX,None,Consent provided,Web,02/28/24,Closed with monetary relief,Yes,N/A,8441725,7500.0,-0.5,8,365,10,Physical Theft and Identity Fraud,In-Person,Debit Card,Denied Claim|Procedural Obstacles,Major Financial Loss,,Regulation E,NYPD,TD Bank
